Region,Office PBI,Project Title,Transparency Portal,Country TRANSPARENCY,Budget,Expenses from TP,EXPENSES without minos
RBA,Swaziland,Structural Transformation for Economic Recovery,https://open.undp.org/projects/00142177,SWZ,356371,-210356,0
RBA,Lesotho,Integrated Watershed Management`,https://open.undp.org/projects/00097375,LSO,332864,-2638,0
RBEC,Serbia,Vlasina Pure Love Phase 1,https://open.undp.org/projects/00145921,SRB,7830,0,0
RBAP,Maldives,Implementing Sustainable Low & non-Chemical Development,https://open.undp.org/projects/00128540,SYC,23351.00,0.00,0
RBEC,Serbia,Biodiversity and Water,https://open.undp.org/projects/00147066,SRB,1,0,0
RBEC,Tajikistan,Improvement of Water Resources Management in Khatlon,https://open.undp.org/projects/00138716,TJK,92124,1862,1862
RBAP,Philippines,SGP OP7,https://open.undp.org/projects/00119604,PHL,142012,5870,5870
RBEC,Republic of Moldova,Sustainable management of Dniester II Phase,https://open.undp.org/projects/00139217,MDA,469263,9022,9022
RBEC,Republic of Moldova,AdTrade Phase III,https://open.undp.org/projects/00139199,MDA,14300,12529,12529
RBAP,India,Evidence for transmission aid,https://open.undp.org/projects/00143067,IND,128993,14138,14138
RBEC,Tajikistan,Support to Water Initiatives of Tajikistan,https://open.undp.org/projects/00126008,TJK,20000,15681,15681
RBEC,Tajikistan,"Technical Support to Tajikistan Water Sector Reform, TS-",https://open.undp.org/projects/00138713,TJK,68580,26316,26316
RBA,Ghana,Innovative Financing basic sanitation & waste Management,https://open.undp.org/projects/00131159,GHA,26958,26958,26958
RBAP,Philippines,Accelerating Green and Climate Finance,https://open.undp.org/projects/00130666,PHL,60500,34767,34767
RBAS,Somalia,Somalia Humanitarian Flood Response Fund,https://open.undp.org/projects/00045672,SOM,41086,40783,40783
RBEC,Turkmenistan,Conservation of Land Resources FSP,https://open.undp.org/projects/00128715,TKM,128744,41376,41376
RBEC,Uzbekistan,"Conservation and sustainable management of lakes, wetlan",https://open.undp.org/projects/00120486,UZB,44889,42603,42603
RBAS,Prog for Palestinian People,PAL/ 95R52 Upgarding of Hebron Sewage System,https://open.undp.org/projects/00044853,PSE,46691.00,46690.00,46690
RBAP,Fiji,Fiji LMMA Project (PPG),https://open.undp.org/projects/00109881,FJI,95304,48704,48704
RBAS,Djibouti,Rehabilitation infrastrustures agricoles,https://open.undp.org/projects/00106811,DJI,400000,49174,49174
RBEC,Tajikistan,Emergency assistance to mudflow affected population of K,https://open.undp.org/projects/00128831,TJK,77519,50700,50700
